"ID",,,,,"è≥ë¯",S1111,S1121,S1211,S1221,S1TTL,S2111,S2121,S2131,S2211,S2221,S2231,S2TTL,S3111,S3121,S3131,S3141,S3211,S3221,S3231,S3TTL,S4111,S4112,S4121,S4131,S4141,S4211,S4221,S4231,S4241,S4311,S4321,S4331,S4341,S4351,S4TTL,S5111,S5121,S5131,S5141,S5211,S5221,S5311,S5321,S5411,S5421,S5511,S5521,S5TTL,S6111,S6121,S6131,S6211,S6221,S6311,S6321,S6TTL,STTL,101,102,103,104,105,111,112,113,114,115,116,117,118,119,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1131,1132,1133,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1210,1211
="22",="02",="0002",="05",="000",="1",2,1,2,2,7,2,2,2,2,2,2,12,2,2,2,1,2,2,1,12,"",2,2,2,2,2,2,1,1,2,2,2,2,2,24,1,2,2,2,0,0,2,2,1,2,2,2,18,1,2,2,2,2,3,2,14,87,0.93,0.46,1.39,0,0.93,2,5,287,237,70,1,1,1,1,2,2,2,2,2,1,42,77.3,13.1,30,0,30,6,2,2,4,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,37,0,0,2162,394,1218,0,0,0,2,2
="22",="02",="0002",="06",="000",="1",1,1,1,2,5,1,1,2,2,2,2,10,2,2,2,2,2,2,1,13,"",1,1,1,1,2,2,1,0,2,2,1,1,2,17,1,2,2,1,1,1,2,2,1,1,1,1,16,1,2,0,1,2,3,2,11,72,1.06,0,0,0,1.06,2,5,333,283,65,1,1,1,1,2,1,1,2,2,1,43,67,13,27,1,24,7,2,2,2,1,2,2,2,1,4,1,1,1,1,1,1,2,1,2,37,0,0,1894,831,720,0,0,0,2,2
="22",="02",="0002",="09",="000",="1",1,2,2,1,6,2,2,2,2,2,1,11,2,2,2,2,1,1,2,12,"",2,2,2,2,2,2,1,1,2,2,2,2,2,24,2,2,2,0,"","",2,2,1,1,1,1,14,2,1,1,2,2,3,2,13,80,0.81,0,0.81,0,1.21,2,2,369,238,69,1,2,1,2,1,2,2,2,2,1,45,82.7,22,27,0,27,9,2,2,4,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,40,0,0,2481,1015,1234,0,0,0,2,1
="22",="02",="0002",="10",="000",="1",1,1,1,2,5,2,2,2,2,2,2,12,2,2,2,2,1,1,1,11,"",2,2,2,2,2,2,1,1,2,2,2,2,2,24,2,2,2,1,1,1,2,2,2,1,1,1,18,1,2,2,2,2,3,2,14,84,0.95,0,0,0,0.47,2,2,238,224,70,1,2,1,1,1,2,2,2,2,1,46,68.2,10,25,0,30,8,2,2,4,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2107,558,756,0,0,0,2,2
="22",="02",="0003",="02",="000",="1",2,1,1,2,6,2,1,1,1,2,1,8,2,2,2,1,2,2,2,13,"",1,1,1,1,2,2,1,1,1,1,1,1,0,14,1,2,2,1,0,0,2,2,1,2,1,1,15,1,1,2,2,2,3,1,12,68,2.3,0.33,0.66,0,1.32,2,1,628,572,83.1,1,2,1,1,2,2,2,2,2,1,50,95.4,10.72,30,0,29,6,1,2,8,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,0,0,0,3038,688,1435,0,0,0,2,2
="22",="02",="0003",="03",="000",="1",2,2,2,2,8,2,1,2,2,2,2,11,2,2,2,2,2,2,1,13,"",2,1,2,1,2,0,0,1,0,0,0,0,2,11,1,2,2,2,2,1,2,0,1,2,2,2,19,1,1,2,2,2,2,2,12,74,2.16,0.36,0.36,1.08,0,2,1,628,50,96.3,1,1,1,1,1,2,2,2,2,1,50,93.5,10.6,33,0,31,8,1,3,8,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,30.6,0,0,2776,859,1744,0,0,0,2,1
="22",="02",="0003",="04",="000",="1",2,1,1,2,6,2,2,2,1,2,2,11,1,2,1,2,2,2,1,11,"",2,1,2,2,2,1,1,1,2,2,2,2,2,22,2,1,2,1,1,0,2,2,1,1,2,2,17,1,2,0,2,2,2,1,10,77,2.02,0.34,1.34,0.34,0.67,2,2,628,572,83.1,1,1,1,2,1,2,2,2,2,1,50,99.6,20.7,30,0,30,6,1,3,8,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,31.7,0,0,2975,1399,1322,0,0,0,2,2
="22",="02",="0003",="05",="000",="1",2,2,2,2,8,2,1,2,2,0,1,8,2,2,2,2,2,2,2,14,"",2,2,2,1,2,2,1,1,2,2,2,2,2,23,2,2,2,2,1,1,2,2,1,2,1,1,19,2,2,2,2,2,2,2,14,86,3.31,0,1.1,6.63,3.31,2,2,608,454,93.5,1,2,1,1,2,2,2,2,2,1,50,98,11,32,0,32,8,1,2,8,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2716,877,1028,0,0,0,2,1
="22",="02",="0003",="07",="000",="1",1,1,1,1,4,2,1,2,2,2,2,11,0,0,0,0,2,2,1,5,"",2,1,2,1,2,0,1,1,2,2,2,2,2,20,2,2,2,2,1,1,2,2,2,2,1,2,21,1,2,2,2,2,3,2,14,75,3.15,3.15,2.1,0,0.7,2,1,50,612,78,1,1,1,2,1,2,2,2,2,1,50,85.5,12.9,32,0,32,6,1,2,8,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,31.4,0,0,2765,700,916,1227680537,0,0,2,2
="22",="02",="0003",="08",="000",="1",2,2,1,2,7,2,1,2,1,2,2,10,0,0,0,0,2,2,1,5,"",2,2,1,1,1,1,1,1,2,2,2,2,2,20,1,2,2,1,1,1,1,2,2,2,1,1,17,1,1,2,2,2,2,2,12,71,0.78,0.78,1.17,0,0,2,2,521,498,98.2,1,2,1,2,1,1,1,2,2,1,46,93,13.8,29,0,27,7,1,2,8,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2571,1107,692,0,0,0,2,2
="22",="02",="0003",="09",="000",="1",2,1,1,1,5,2,2,1,1,2,2,10,2,2,2,2,1,2,1,12,"",2,2,2,2,2,2,1,2,2,2,2,2,2,25,1,1,1,0,0,0,2,2,1,1,2,2,13,1,2,2,2,2,2,3,14,79,0,0.51,1.02,0,0.51,2,2,628,572,83.1,1,2,1,2,2,1,2,2,2,9,52,74.1,7.63,48,0,44,5,1,3,8,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1,0,0,0,1960,115,884,0,0,0,1,1
="22",="02",="0003",="15",="000",="1",1,1,1,2,5,0,1,1,2,0,0,4,2,2,2,1,0,2,0,9,"",1,0,1,"",2,2,0,0,2,1,2,2,0,13,1,"",2,0,0,0,2,0,1,1,1,1,9,1,1,2,1,2,1,2,10,50,3.44,0,0.69,0,0,2,2,510,510,93.5,1,2,1,1,2,2,2,1,2,6,50,47.8,43.8,22,0,19,2,2,2,8,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,0,0,0,1454,32,185,0,0,0,1,1
="22",="02",="0003",="16",="000",="1",2,1,2,2,7,2,1,1,2,1,1,8,2,2,2,2,2,2,1,13,"",2,1,2,1,2,2,2,1,2,2,2,2,2,23,2,2,2,2,2,1,2,0,1,1,2,2,19,1,1,2,2,2,3,3,14,84,3.88,0,9.71,0,0,2,1,628,552,80,1,2,1,1,2,2,2,2,2,2,20,39.8,22,17,0,17,1,2,1,8,1,1,2,2,1,4,1,2,1,2,2,2,2,2,1,37,0,0,515,375,123,0,0,0,2,1
="22",="02",="0003",="17",="000",="1",2,1,1,1,5,2,2,2,2,1,2,11,1,1,1,1,0,2,2,8,"",2,1,2,1,2,2,1,1,2,2,2,2,2,22,2,2,2,2,2,1,1,2,2,1,1,1,19,1,2,2,2,2,3,3,15,80,0.65,0,1.31,0.65,5.23,2,1,628,572,93.5,1,2,1,2,1,2,2,2,2,3,20,89.1,2.51,32,0,32,5,1,1,8,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,0,0,0,1529,954,140,0,0,0,2,1
="22",="02",="0003",="18",="000",="1",1,1,1,1,4,2,1,2,2,2,2,11,0,0,0,0,0,2,1,3,"",2,1,2,1,2,1,1,2,2,2,2,2,2,22,2,2,2,2,1,2,2,2,2,2,2,2,23,1,1,2,2,2,3,3,14,77,0,0,2.39,2.39,0,2,1,628,572,80.6,1,1,1,2,1,2,2,2,2,3,6,94.7,7.4,23,0,23,1,2,2,8,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,0,0,0,48,304,0,0,0,0,1,1
="22",="07",="0003",="01",="000",="1",1,1,1,2,5,1,1,2,1,1,1,7,2,2,2,2,2,1,2,13,"",1,1,2,1,2,2,2,0,2,2,2,2,2,21,2,2,2,0,1,0,2,0,1,1,1,1,13,1,1,0,2,1,3,3,11,70,0.51,0,1.02,0,0,2,5,215,193,70.8,1,2,1,1,2,2,2,2,2,2,18,58.2,38.1,17,0,14,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,44.1,0,0,1965,556,265,0,0,0,2,2
="22",="07",="0003",="02",="000",="1",2,2,1,2,7,2,1,2,2,1,2,10,1,2,1,1,1,1,1,8,"",2,1,2,1,2,2,1,0,2,2,1,1,2,19,2,1,2,2,1,1,2,2,2,2,1,1,19,1,2,1,2,2,3,2,13,76,6.64,0.66,0,0,3.32,4,5,215,215,71,1,,1,2,1,2,2,2,2,1,34,71,11.6,25,0,25,3,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,1505,210,780,0,0,0,2,1
="22",="07",="0003",="03",="000",="1",1,2,1,2,6,2,1,1,2,1,1,8,0,2,2,0,1,1,1,7,"",2,1,1,1,2,2,1,0,2,2,2,2,0,18,1,2,2,0,0,0,2,2,1,1,1,1,13,1,2,1,2,1,3,2,12,64,2.97,0.59,0,0,4.16,1,5,193,193,708,1,2,1,2,1,2,2,2,2,1,42,70.8,11.3,24,0,23,3,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,0,0,0,1682,352,894,0,0,0,2,2
="22",="07",="0003",="04",="000",="1",1,1,2,2,6,2,1,1,2,2,2,10,1,2,2,1,1,1,1,9,"",2,1,2,1,2,2,1,0,2,2,2,2,2,21,1,1,2,2,1,1,2,2,1,2,1,1,17,1,2,1,2,2,2,2,12,75,1.54,0.51,1.03,6.17,1.54,2,5,215,175,61.4,1,2,1,1,2,2,2,2,2,1,42,79.3,19.3,25,0,25,3,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,38.92,3.1,21.9,1945,360,710,0,0,0,2,1
="22",="07",="0003",="05",="000",="1",2,2,2,2,8,2,1,1,2,2,1,9,2,2,2,1,1,1,1,10,"",2,1,2,1,2,2,1,0,2,2,2,2,2,21,2,2,2,1,0,0,2,2,1,1,1,1,15,1,1,2,2,2,3,3,14,77,1.78,0,0,0,0.45,2,5,193,165,70.1,1,1,1,1,2,2,2,2,2,1,42,65.3,9.6,24,0,24,3,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,0,0,0,2247,520,1055,0,0,0,2,1
="22",="07",="0003",="06",="000",="1",1,1,2,2,6,2,1,2,2,1,2,10,1,2,2,1,2,1,1,10,"",2,1,2,2,2,2,1,1,1,2,2,2,0,20,1,2,2,1,1,1,2,0,2,2,1,1,16,1,1,2,2,2,3,3,14,76,6.79,0,0,25.47,1.7,2,6,226,193,70.8,1,2,1,1,2,2,2,2,2,5,30,29.2,10.7,17,0,17,2,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,1,45,0,0,589,190,343,0,0,0,1,1
="22",="14",="0001",="01",="000",="1",1,2,2,2,7,2,1,1,2,2,2,10,1,0,0,0,1,1,2,5,"",2,1,2,1,2,2,1,1,2,2,2,2,0,20,2,2,2,1,2,2,2,2,1,2,1,1,20,1,2,2,2,2,2,2,13,75,3.53,0,1.18,3.53,5.29,4,5,367,232,79.1,1,2,1,2,1,2,2,2,2,1,34,79.2,20.3,19.6,0,19,4.8,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,0,0,6.1,1701,640,536,0,0,0,2,2
="22",="14",="0001",="04",="000",="1",1,1,1,2,5,2,1,1,1,2,2,9,1,0,0,0,1,1,2,5,"",2,1,2,1,2,2,1,1,1,1,"",1,2,17,2,2,2,1,2,2,2,2,1,2,1,2,21,1,2,2,1,2,2,2,12,69,3.72,0.37,0.76,0,0,4,5,367,232,79.1,1,2,1,2,1,2,2,2,2,1,50,87.7,13.5,28,0,28,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,32.3,5.4,5.4,2691,425,938,0,0,0,2,2
="22",="14",="0001",="05",="000",="1",1,2,1,1,5,2,1,2,1,1,1,8,2,2,1,1,2,"",1,9,"",2,1,2,1,2,"",1,1,1,1,1,1,0,14,1,2,1,"",0,0,2,2,2,2,2,2,16,1,1,0,2,2,0,0,6,58,5.39,0.34,0,0,4.05,4,5,300,200,83,1,1,1,2,2,2,2,2,2,8,60,85,30,28,0,25,10,1,1,6,1,1,1,1,1,4,1,2,2,2,2,2,2,1,1,0,0,0,2966,529,1790,0,0,0,2,2
="22",="14",="0001",="06",="000",="1",1,2,1,1,5,2,1,2,1,2,2,10,0,0,0,0,2,1,1,4,"",2,0,2,1,2,1,0,1,0,0,0,0,2,11,2,2,2,0,0,0,2,2,1,2,1,1,15,1,1,2,2,2,1,2,11,56,5.13,3.67,2.2,2.2,5.13,4,5,344,229,79,1,2,1,1,1,2,2,2,2,1,33,88,12.5,22,0,21,4.5,1,1,5,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,29.7,0,0,1364,562,400,0,0,0,2,2
="22",="14",="0001",="07",="000",="1",1,2,2,2,7,2,2,1,1,2,2,10,1,0,0,0,1,1,2,5,"",2,1,2,1,2,2,1,1,1,1,1,1,0,16,1,2,2,1,2,2,2,2,1,2,1,1,19,1,2,2,2,2,2,2,13,70,0,0,0,0,2.57,4,5,367,232,0,1,2,1,2,1,2,2,2,2,3,8,84.6,19.6,13,0,13,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,0,0,7.5,389,271,27,0,0,0,2,2
="22",="14",="0001",="08",="000",="1",1,2,2,2,7,2,1,1,1,2,2,9,1,0,0,0,1,1,2,5,"",2,1,2,1,2,"",1,1,0,2,0,0,2,14,2,2,2,1,2,2,2,2,1,2,2,2,22,1,2,2,2,2,2,2,13,70,5.43,0,0,7.25,27.17,4,5,367,232,79.1,1,2,1,2,1,2,2,2,2,3,9,95,22.5,14,0,14,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,34.3,6.4,7.6,29,192,200,0,0,0,2,2
="22",="14",="0001",="09",="000",="1",1,0,2,2,5,2,1,1,1,2,2,9,2,2,2,2,1,1,2,12,"",0,1,2,1,2,2,1,1,1,1,1,1,2,16,2,2,2,1,2,2,2,2,1,2,1,1,20,1,2,2,2,2,2,2,13,75,3.1,6.2,4.14,6.2,3.1,4,5,367,232,79.1,1,2,1,1,2,2,2,2,1,2,20,82.1,19.6,13.5,0,13,2,1,1,1,1,1,1,1,1,4,1,1,1,2,2,2,2,2,1,38.6,8,7.6,18,558,405,0,0,0,2,2
="22",="14",="0001",="10",="000",="1",1,2,2,2,7,2,1,1,1,2,2,9,1,0,0,0,1,1,2,5,"","",1,2,1,2,2,1,1,2,2,2,2,0,18,2,2,0,1,2,2,2,2,1,2,1,1,18,1,2,2,2,2,0,1,10,67,3.17,0,0,0,2.64,4,5,367,232,79.1,1,2,1,2,2,2,2,2,1,7,38,79.5,130.9,16,0,16,4.7,1,1,4,1,1,1,1,1,3,1,2,2,2,2,2,1,2,1,34.8,7.6,7.6,1894,98,1385,0,0,0,2,2
="22",="14",="0006",="01",="000",="0",1,2,1,1,5,2,1,2,1,1,2,9,2,2,2,1,1,2,1,11,"",2,1,1,1,2,2,0,1,2,2,2,2,0,18,2,2,2,1,1,1,2,0,2,2,1,1,17,1,1,0,2,2,3,2,11,71,0.69,0,1.39,0,0,4,2,372
="22",="14",="0006",="02",="000",="1",1,1,2,2,6,2,2,1,2,2,1,10,1,2,2,2,2,2,1,12,"",2,2,2,2,2,2,1,1,2,2,2,2,2,24,2,2,2,2,0,0,1,0,1,1,1,1,13,1,1,2,2,2,2,2,12,77,0,0,0,0,0,4,5,372,301,93.3,2,2,1,2,1,1,2,2,2,1,28,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,
="22",="14",="0006",="03",="000",="1",1,2,1,1,5,2,2,2,2,1,2,11,2,1,2,1,1,2,1,10,"",2,1,2,1,2,2,0,1,2,2,2,2,0,19,2,2,2,1,1,0,2,0,2,2,2,1,17,1,1,0,2,2,2,2,10,72,2.06,0,0,0,2.06
="22",="14",="0006",="04",="000",="1",1,1,1,1,4,2,1,0,1,2,0,6,2,2,2,1,1,2,1,11,"",2,1,1,1,2,2,1,1,1,1,1,0,0,14,2,2,2,0,1,1,1,2,2,1,1,1,16,1,1,2,1,2,1,2,10,61
="22",="14",="0006",="05",="000",="1",1,2,2,2,7,1,1,1,2,0,1,6,0,2,1,1,0,1,1,6,"",1,2,1,1,2,2,1,0,2,2,2,2,0,18,2,2,1,1,0,0,1,2,1,1,1,1,13,1,1,0,1,2,2,2,9,59,0,0,0.43,3.86,0.43,,,372,301,0,2,2,1,1,2,2,2,2,2,1,48,67.8,12.7,35,0,35,7,2,1,,1,1,2,2,1,4,1,1,2,2,1,2,2,2,2,29,5,8,2587,0,0,0,0,0,2,2
="22",="14",="0006",="06",="000",="1",1,2,1,2,6,1,2,0,1,1,0,5,0,0,0,0,2,2,2,6,"",2,1,2,2,2,2,0,1,1,2,1,1,0,17,2,2,2,2,1,1,1,0,1,1,1,1,15,1,2,2,2,2,2,1,12,61
="22",="14",="0006",="07",="000",="1",1,2,1,2,6,2,1,1,2,0,1,7,2,2,2,2,1,1,1,11,"",2,1,1,1,2,2,1,0,2,2,2,2,0,18,2,2,2,1,0,0,2,2,1,2,1,1,16,2,1,0,2,2,1,2,10,68,0.39,0,0.39,3.48,0,4,5,372,301,82.5,2,2,1,2,1,2,2,2,2,1,48,82.5,9.7,33,0,33,7,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,28,4,4,2587,0,0,0,0,0,2,2
="22",="14",="0006",="08",="000",="1",0,2,1,2,5,2,1,1,2,2,0,8,2,2,2,2,2,2,1,13,"",2,1,2,1,2,2,1,1,2,2,2,2,2,22,2,2,2,1,1,1,1,0,2,2,1,1,16,1,1,2,2,2,2,2,12,76,0.62,0,1.25,1.25,1.25,4,5,372,301,93.3,2,2,1,2,1,1,2,2,2,1,33,78.9,7.3,27,0,27,4,2,1,6,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,31,6,8,1606,278,449,0,0,0,,
="22",="16",="0001",="01",="000",="1",2,2,2,2,8,2,2,2,2,2,2,12,2,2,2,2,2,1,1,12,"",2,2,2,2,2,2,1,1,2,2,2,2,2,24,2,2,2,2,2,2,2,2,1,2,2,2,23,1,1,2,2,2,3,2,13,92,0.79,0,0.39,0,4.33,1,1,612,494,71.4,1,2,1,2,1,2,2,2,2,1,48,74.4,10.76,31,0,31,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,31.6,7.4,0,2538,455,1375,0,0,0,1,1
="22",="16",="0001",="02",="000",="1",2,1,2,2,7,2,1,1,2,2,2,10,2,2,2,2,1,1,1,11,"",2,1,2,1,2,2,1,1,2,2,2,2,2,22,2,2,2,0,0,0,2,2,1,1,1,1,14,2,1,2,2,2,3,2,14,78,1.81,0,1.45,0,2.53,1,1,612,494,71.4,1,2,1,2,1,2,2,2,1,1,50,79.19,10.91,31,0,31,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,31,0,0,2765,309,1178,0,0,0,1,1
="22",="16",="0001",="03",="000",="1",2,2,1,2,7,2,2,2,2,2,2,12,2,2,2,1,1,2,2,12,"",2,2,2,2,2,2,1,1,2,2,2,2,2,24,2,2,2,1,2,2,2,2,2,2,2,2,23,1,2,2,2,2,3,3,15,93,0,2.79,0,0,0.7,1,1,612,494,71.4,1,2,1,1,1,2,1,2,2,1,28,86.86,11,22,0,22,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,32.8,0,0,1436,371,875,0,0,0,1,1
="22",="16",="0001",="04",="000",="1",2,2,2,2,8,2,1,1,2,1,2,9,2,2,2,1,2,2,1,12,"",2,1,2,1,2,2,1,0,2,2,2,2,2,21,2,2,2,2,2,2,2,2,1,2,2,2,23,1,2,2,2,2,2,2,13,86,1.14,0,0.38,0.38,1.9,1,1,612,494,71.4,1,2,1,1,2,2,2,2,2,1,48,81.75,12,30,0,30,1,1,1,6,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,31.5,0,0,2626,404,1161,0,0,0,1,1
="22",="16",="0001",="05",="000",="1",2,2,1,2,7,2,1,1,2,2,2,10,2,2,2,1,2,1,2,12,"",2,1,1,1,2,2,1,0,1,2,1,1,2,17,2,2,2,2,2,2,2,2,2,2,1,1,22,1,2,2,2,2,2,2,13,81,1.78,0,0,1.07,0.71,1,1,612,494,71.4,1,2,1,1,2,2,2,2,2,1,48,93.51,10.45,33,0,33,2,1,1,6,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,31.87,0,0,2804,331,1413,0,0,0,1,1
="22",="16",="0001",="06",="000",="1",1,2,1,2,6,2,1,1,2,2,2,10,2,2,2,2,2,1,1,12,"",2,1,2,1,2,2,1,1,2,2,2,2,2,22,2,2,2,2,2,2,2,2,1,2,2,2,23,2,2,2,2,2,3,3,16,89,1.72,0,0,0,1.29,1,1,612,494,71.4,1,2,1,1,2,2,2,2,2,1,44,73.79,8.27,30,0,30,4,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2332,216,1327,0,0,0,1,1
="22",="16",="0001",="07",="000",="1",1,2,2,2,7,2,1,2,2,2,2,11,2,2,2,1,1,2,1,11,"",2,1,2,1,2,2,1,1,2,2,2,2,2,22,2,2,2,2,2,2,2,2,1,2,2,2,23,1,2,1,2,2,3,2,13,87,2.21,0.32,0.32,0.32,2.21,1,1,612,494,71.4,1,2,1,2,1,2,2,2,2,1,53,83.4,19.54,36,0,36,5,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,0,0,0,3164,1241,0,0,0,0,1,1
="22",="16",="0001",="08",="000",="1",1,2,1,1,5,2,1,1,2,2,2,10,2,2,2,2,2,2,1,13,"",2,1,2,1,2,2,1,1,2,2,2,2,2,22,2,2,2,1,1,1,2,2,1,2,1,1,18,1,2,2,2,2,3,2,14,82,0,0,0,0,3.69,1,1,612,494,71.4,1,1,1,2,1,1,2,2,2,1,35,0,7.26,26,0,27,4,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,34.2,0,0,1899,240,1030,0,0,0,1,1
="22",="16",="0001",="09",="000",="1",1,2,2,1,6,2,2,1,2,2,2,11,2,2,2,2,1,2,2,13,"",2,2,2,2,2,2,1,1,2,0,2,0,2,20,1,2,2,0,2,2,2,2,2,1,1,2,19,1,1,2,2,2,3,2,13,82,1.56,0.52,0,0,2.59,1,1,612,494,71.4,1,2,1,2,1,2,2,2,2,1,35,62.58,11.9,25,0,26,3,1,1,8,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,31.73,0,7.65,1929,284,883,0,0,0,2,1
="22",="16",="0001",="10",="000",="1",1,2,2,2,7,2,1,1,2,2,2,10,2,2,2,2,1,1,1,11,"",2,1,2,1,2,2,1,0,2,2,2,2,2,21,2,2,2,1,2,1,2,2,1,2,1,1,19,1,2,2,2,2,3,2,14,82,0.38,0.38,0,0,1.54,1,1,612,494,71.4,1,2,1,2,1,2,2,2,2,1,48,74.8,9.86,29,0,29,4,1,1,5,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,29.4,0,0,2602,236,993,0,0,0,1,1
="22",="16",="0001",="12",="000",="1",2,1,2,2,7,2,2,1,2,2,1,10,2,2,2,2,2,2,1,13,"",2,2,2,2,2,2,2,2,2,2,2,2,2,26,1,2,2,2,2,2,2,2,2,2,2,2,23,1,2,2,2,2,3,3,15,94,0,0,0,6.59,0,1,1,612,494,71.4,1,2,1,1,2,2,1,2,2,3,12,85,17,28,0,28,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,34.5,0,0,607,607,0,0,0,0,1,1
="22",="16",="0001",="13",="000",="1",2,1,1,2,6,2,1,2,1,2,2,10,2,2,1,1,2,2,1,11,"",2,1,2,1,2,2,0,0,1,1,1,1,2,16,1,2,2,2,2,2,2,2,1,2,1,1,20,1,2,2,2,2,3,2,14,77,0,0,0,2.46,0,1,1,612,494,71.4,1,2,1,2,2,2,1,2,2,3,10,70,13,7,0,20,0,2,3,6,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,31,0,0,407,407,0,0,0,0,1,1
